,ad,bizseller,checkout,contact_hope,free_shipping,is_adult,is_super_up_shop,location,max_cpc,name,num_comment,num_faved,only_neighborhood,outlink_url,pid,price,product_image,pu_id,ref_campaign,ref_code,ref_medium,ref_content,ref_source,status,style,super_up,tag,uid,update_time,used,bun_pay_filter_enabled,imp_id,ad_ref,faved
0,False,False,False,False,False,False,,,,[240] 나이키 덩크 로우 라이트본,0,12,False,,165560067,295000,https://media.bunjang.co.kr/product/165560067_1_1635994107_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키덩크 라이트본 덩크240,202582,1636536835,2,False,2395618b9224022d613c,,False
1,False,False,False,False,False,False,,,,[270] 조던1 로우 스타피쉬 나이키,0,3,False,,167037090,390000,https://media.bunjang.co.kr/product/167037090_1_1634314914_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,스타피쉬270 조던1 덩크,202582,1636536828,2,False,2395618b9224022d613d,,False
2,False,False,False,False,False,False,,강원도 횡성군 둔내면,,나이키 덩크로우 범고래 나이키 덩크로우 치타,0,3,False,,167886948,219000,https://media.bunjang.co.kr/product/167886948_1_1636169843_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키덩크범고래 나이키덩크로우 나이키에어포스 조던1 조던1로우,6813696,1636536766,1,False,2395618b9224022d613e,,False
3,False,False,False,False,True,False,,경기도 수원시 권선구 권선2동,,[230]나이키 덩크로우 se플립,0,19,False,,160053018,180000,https://media.bunjang.co.kr/product/160053018_1_1627195432_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키덩크로우 나이키 나이키플립 나이키플립플랍 나이키한정판,9175260,1636536744,1,True,2395618b9224022d613f,,False
4,False,False,False,False,True,False,,대구광역시 달서구 진천동,,조던1 로우 짐레드 285 판매합니다!,0,2,False,,169329245,210000,https://media.bunjang.co.kr/product/169329245_1_1636366896_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,조던1 조던1로우 나이키 조던 덩크,6871743,1636536731,1,False,2395618b9224022d6140,,False
5,False,False,False,False,False,False,,부산광역시 사하구 신평제1동,,나이키 덩크로우 검흰 범고래 275 새상품 팝니다,0,0,False,,169520783,330000,https://media.bunjang.co.kr/product/169520783_1_1636536704_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,조던 덩크로우 나이키 범고래 275,8523435,1636536714,2,True,2395618b9224022d6141,,False
6,False,False,False,False,False,False,,대구광역시 북구 칠성동,,[260]나이키x오프화이트 덩크로우 더 50-로트 46 미시착 새제품,0,2,False,,162083119,500000,https://media.bunjang.co.kr/product/162083119_1_1636536662_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,오프화이트덩크46,12479852,1636536678,2,False,2395618b9224022d6142,,False
7,False,False,False,False,False,False,,서울특별시 중랑구 면목제3.8동,,나이키 덩크로우 범고래 270mm ,0,2,False,,169096101,310000,https://media.bunjang.co.kr/product/169096101_1_1636267722_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,덩크로우 덩크 범고래,77364582,1636536640,2,False,2395618b9224022d6143,,False
8,False,False,False,False,False,False,,서울특별시 마포구 대흥동,,나이키 덩크로우 범고래 255 우먼스,0,0,False,,169520642,269000,https://media.bunjang.co.kr/product/169520642_1_1636536621_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 범고래 255 조던 덩크,4170042,1636536621,2,False,2395618b9224022d6144,,False
9,False,False,False,False,False,False,,경기도 고양시 덕양구 신도동,,나이키덩크로우서울,0,0,False,,168204450,279000,https://media.bunjang.co.kr/product/168204450_1_1635328337_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키덩크로우서울 나이키덩크265 스폐셜기프트 덩크로우 국뽕덩크,7119884,1636536591,1,True,2395618b9224022d6145,,False
