,ad,bizseller,checkout,contact_hope,free_shipping,is_adult,is_super_up_shop,location,max_cpc,name,num_comment,num_faved,only_neighborhood,outlink_url,pid,price,product_image,pu_id,ref_campaign,ref_code,ref_medium,ref_content,ref_source,status,style,super_up,tag,uid,update_time,used,bun_pay_filter_enabled,imp_id,ad_ref,faved
1396,False,False,False,False,True,False,,부산광역시 부산진구 개금제1동,,나이키 덩크 범고래 우먼 240,0,0,False,,164982276,300000,https://media.bunjang.co.kr/product/164982276_1_1632257426_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크 범고래 덩크로우 나이키덩크로우범고,75771795,1632298529,1,False,3903618b4b7708dcc21e,,False
1397,False,False,False,True,False,False,,,,나이키 덩크로우 범고래 285,0,5,False,,164924350,0,https://media.bunjang.co.kr/product/164924350_1_1633893521_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 범고래 나이키덩크로우범고래 285 조던,6189842,1632297447,1,False,3903618b4b7708dcc21f,,False
1398,False,False,False,False,False,False,,서울특별시 강동구 고덕제1동,,나이키 범고래 덩크 로우 레트로 250,0,6,False,,165006219,280000,https://media.bunjang.co.kr/product/165006219_1_1632291743_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 범고래 덩크로우,12549264,1632291743,1,False,3903618b4b7708dcc220,,False
1399,False,False,False,False,False,False,,경상남도 진주시 성북동,,나이키 덩크 로우 범고래 255,0,1,False,,165000349,295000,https://media.bunjang.co.kr/product/165000349_1_1632326391_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 범고래 덩크 조던,76922629,1632287204,1,False,3903618b4b7708dcc221,,False
1400,False,False,False,False,False,False,,서울특별시 마포구 성산제2동,,나이키 덩크 범고래 우먼스235사이즈 (극미중고),0,2,False,,164842474,360000,https://media.bunjang.co.kr/product/164842474_1_1632284723_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 범고래 덩크 덩크로우 나코탭,2501792,1632284729,1,False,2993618b4b770876fe32,,False
1401,False,False,False,False,True,False,,,,나이키 덩크로우 디스럽트 범고래 w240,0,1,False,,164993991,150000,https://media.bunjang.co.kr/product/164993991_1_1632298999_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 나이키덩크로우 나이키덩크로우범고래 나이키덩크로우240 나이키디스럽트,741384,1632281623,1,False,2993618b4b770876fe33,,False
1402,False,False,False,False,False,False,,서울특별시 서대문구 북가좌제2동,,나이키 덩크로우 범고래,0,1,False,,164748715,350000,https://media.bunjang.co.kr/product/164748715_1_1631945127_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 범고래,3430211,1632279107,1,False,2993618b4b770876fe34,,False
1403,False,False,False,True,False,False,,경기도 용인시 기흥구 동백동,,[275] 나이키 덩크로우 범고래,0,3,False,,164974971,0,https://media.bunjang.co.kr/product/164974971_1_1632290922_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키덩크로우범고래 덩크로우 덩크275 덩크범고래 범고래,1556882,1632237928,1,False,2993618b4b770876fe35,,False
1404,False,False,False,False,False,False,,경상남도 창원시 마산합포구 산호동,,나이키 덩크로우 범고래 270,0,4,False,,164951131,250000,https://media.bunjang.co.kr/product/164951131_1_1632216565_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크 범고래 검흰 조던,6701543,1632216565,1,False,2993618b4b770876fe36,,False
1405,False,False,False,False,True,False,,경기도 안양시 만안구 안양3동,,나이키 덩크로우 범고래gs235,0,0,False,,164938596,345000,https://media.bunjang.co.kr/product/164938596_1_1632384312_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 나이키 덩크로우,86455,1632204838,1,False,2993618b4b770876fe37,,False
