날짜,조던1미드그레이포크,조던1미드스모크그레이,조던1미드울프그레이,조던1미드짐레드
2021-06-11,,19.0,,14.0
2021-06-12,,5.0,,10.0
2021-06-13,,10.0,,20.0
2021-06-14,,10.0,,23.0
2021-06-15,,3.0,,41.0
2021-06-16,,1.0,,11.0
2021-06-17,,4.0,,5.0
2021-06-18,,8.0,,18.0
2021-06-19,,3.0,,18.0
2021-06-20,,13.0,,16.0
2021-06-21,,,,20.0
2021-06-22,,6.0,,30.0
2021-06-23,,20.0,,18.0
2021-06-24,,6.0,,10.0
2021-06-25,,3.0,,16.0
2021-06-26,,5.0,,22.0
2021-06-27,,3.0,,19.0
2021-06-28,,13.0,,19.0
2021-06-29,,9.0,,4.0
2021-06-30,,5.0,,28.0
2021-07-01,,15.0,,32.0
2021-07-02,,6.0,,14.0
2021-07-03,,20.0,,20.0
2021-07-04,,9.0,,16.0
2021-07-05,,5.0,,16.0
2021-07-06,,11.0,,6.0
2021-07-07,,3.0,,13.0
2021-07-08,,8.0,,5.0
2021-07-09,,5.0,1.0,4.0
2021-07-10,,,,14.0
2021-07-11,,,3.0,1.0
2021-07-12,,3.0,,15.0
2021-07-13,,9.0,,8.0
2021-07-14,,3.0,1.0,5.0
2021-07-15,,1.0,1.0,20.0
2021-07-16,,,,5.0
2021-07-17,,1.0,1.0,15.0
2021-07-18,,,3.0,11.0
2021-07-19,,8.0,6.0,11.0
2021-07-20,,3.0,8.0,19.0
2021-07-21,,3.0,,3.0
2021-07-22,,,6.0,10.0
2021-07-23,,,1.0,3.0
2021-07-24,,4.0,76.0,5.0
2021-07-25,,,100.0,13.0
2021-07-26,,4.0,44.0,3.0
2021-07-27,,,18.0,3.0
2021-07-28,,3.0,19.0,1.0
2021-07-29,,1.0,16.0,14.0
2021-07-30,,4.0,11.0,15.0
2021-07-31,,1.0,22.0,6.0
2021-08-01,,6.0,14.0,8.0
2021-08-02,,4.0,57.0,3.0
2021-08-03,,4.0,20.0,35.0
2021-08-04,,9.0,15.0,10.0
2021-08-05,,1.0,24.0,13.0
2021-08-06,,,18.0,5.0
2021-08-07,,6.0,22.0,25.0
2021-08-08,,1.0,28.0,27.0
2021-08-09,,,29.0,15.0
2021-08-10,,8.0,34.0,3.0
2021-08-11,,11.0,6.0,16.0
2021-08-12,,13.0,39.0,1.0
2021-08-13,,4.0,22.0,13.0
2021-08-14,,10.0,32.0,11.0
2021-08-15,,10.0,29.0,8.0
2021-08-16,,3.0,25.0,13.0
2021-08-17,,4.0,25.0,16.0
2021-08-18,,19.0,53.0,4.0
2021-08-19,,16.0,29.0,16.0
2021-08-20,,5.0,9.0,19.0
2021-08-21,,25.0,43.0,18.0
2021-08-22,,11.0,22.0,13.0
2021-08-23,,16.0,30.0,27.0
