날짜,조던1하이다크모카,조던1하이스모크그레이,조던1하이하이퍼로얄
2021-08-19,3.0,13.0,
2021-08-20,23.0,6.0,
2021-08-21,3.0,,
2021-08-23,,,3.0
2021-08-24,,6.0,
2021-08-27,,16.0,
2021-08-28,3.0,,
2021-09-01,,,6.0
2021-09-02,23.0,,3.0
2021-09-03,3.0,,
2021-09-04,19.0,,
2021-09-06,3.0,,
2021-09-07,,,3.0
2021-09-08,16.0,,
2021-09-10,,,6.0
2021-09-12,,3.0,
2021-09-13,6.0,10.0,10.0
2021-09-14,26.0,,
2021-09-15,13.0,,
2021-09-16,3.0,3.0,
2021-09-19,10.0,6.0,
2021-09-22,6.0,3.0,
2021-09-23,,29.0,
2021-09-24,,3.0,
2021-09-25,,6.0,
2021-09-26,19.0,32.0,
2021-09-27,,3.0,
2021-09-28,6.0,52.0,
2021-09-29,23.0,10.0,
2021-10-01,6.0,19.0,
2021-10-02,10.0,,
2021-10-03,,16.0,
2021-10-04,,,10.0
2021-10-07,,45.0,
2021-10-09,,3.0,
2021-10-10,,,3.0
2021-10-11,,10.0,
2021-10-12,,,6.0
2021-10-13,6.0,,
2021-10-14,13.0,6.0,
2021-10-15,,13.0,
2021-10-16,,3.0,
2021-10-17,,6.0,
2021-10-18,3.0,16.0,
2021-10-19,6.0,68.0,
2021-10-20,,65.0,
2021-10-21,,71.0,
2021-10-22,3.0,,
2021-10-23,13.0,,
2021-10-24,,10.0,
2021-10-25,6.0,6.0,
2021-10-26,3.0,13.0,
2021-10-27,,3.0,
2021-10-28,,,6.0
2021-10-29,,,3.0
2021-10-30,13.0,10.0,
2021-10-31,6.0,,
2021-11-01,,10.0,6.0
2021-11-02,,10.0,
2021-11-03,6.0,100.0,
2021-11-04,,13.0,
2021-11-05,,6.0,10.0
2021-11-06,,6.0,
2021-11-07,13.0,,
2021-11-08,,6.0,10.0
2021-11-09,,35.0,
2021-11-12,3.0,,
2021-11-13,10.0,23.0,
