날짜,뉴발란스993네이비,뉴발란스993그레이,뉴발란스993블랙
2021-05-18,1.0,19,17.0
2021-05-19,2.0,38,13.0
2021-05-20,4.0,27,10.0
2021-05-21,2.0,19,4.0
2021-05-22,3.0,22,4.0
2021-05-23,2.0,25,18.0
2021-05-24,3.0,17,3.0
2021-05-25,3.0,22,5.0
2021-05-26,1.0,27,4.0
2021-05-27,2.0,17,4.0
2021-05-28,7.0,17,6.0
2021-05-29,6.0,23,6.0
2021-05-30,4.0,22,10.0
2021-05-31,4.0,20,9.0
2021-06-01,2.0,29,3.0
2021-06-02,1.0,20,5.0
2021-06-03,1.0,29,2.0
2021-06-04,4.0,19,2.0
2021-06-05,2.0,15,4.0
2021-06-06,3.0,22,5.0
2021-06-07,4.0,23,4.0
2021-06-08,2.0,18,3.0
2021-06-09,,21,5.0
2021-06-10,3.0,18,7.0
2021-06-11,1.0,12,5.0
2021-06-12,8.0,23,4.0
2021-06-13,3.0,22,5.0
2021-06-14,3.0,15,2.0
2021-06-15,2.0,18,5.0
2021-06-16,1.0,23,5.0
2021-06-17,2.0,20,3.0
2021-06-18,2.0,16,7.0
2021-06-19,,21,2.0
2021-06-20,5.0,30,7.0
2021-06-21,4.0,20,5.0
2021-06-22,5.0,28,7.0
2021-06-23,1.0,20,5.0
2021-06-24,1.0,13,5.0
2021-06-25,2.0,17,2.0
2021-06-26,3.0,26,4.0
2021-06-27,5.0,21,2.0
2021-06-28,1.0,22,6.0
2021-06-29,2.0,26,4.0
2021-06-30,2.0,18,3.0
2021-07-01,2.0,17,1.0
2021-07-02,1.0,15,
2021-07-03,1.0,21,1.0
2021-07-04,2.0,28,3.0
2021-07-05,2.0,19,4.0
2021-07-06,7.0,31,1.0
2021-07-07,4.0,20,2.0
2021-07-08,1.0,20,7.0
2021-07-09,2.0,16,4.0
2021-07-10,4.0,19,2.0
2021-07-11,3.0,24,4.0
2021-07-12,6.0,23,3.0
2021-07-13,4.0,20,3.0
2021-07-14,,20,3.0
2021-07-15,2.0,28,3.0
2021-07-16,1.0,17,3.0
2021-07-17,2.0,19,4.0
2021-07-18,3.0,19,6.0
2021-07-19,4.0,22,3.0
2021-07-20,1.0,18,5.0
2021-07-21,2.0,16,3.0
2021-07-22,3.0,22,4.0
2021-07-23,1.0,18,1.0
2021-07-24,1.0,8,4.0
2021-07-25,1.0,21,4.0
2021-07-26,3.0,20,1.0
2021-07-27,,21,2.0
2021-07-28,1.0,18,2.0
2021-07-29,2.0,14,5.0
2021-07-30,1.0,9,2.0
2021-07-31,1.0,17,2.0
2021-08-01,2.0,15,4.0
2021-08-02,,15,3.0
2021-08-03,3.0,19,2.0
2021-08-04,2.0,16,6.0
2021-08-05,4.0,25,7.0
2021-08-06,5.0,21,2.0
2021-08-07,2.0,21,4.0
2021-08-08,,34,5.0
2021-08-09,4.0,30,4.0
2021-08-10,6.0,21,6.0
2021-08-11,7.0,19,5.0
2021-08-12,3.0,29,1.0
2021-08-13,4.0,18,5.0
2021-08-14,2.0,33,1.0
2021-08-15,2.0,27,2.0
2021-08-16,4.0,32,8.0
2021-08-17,2.0,37,8.0
2021-08-18,4.0,35,6.0
2021-08-19,4.0,24,3.0
2021-08-20,1.0,29,9.0
2021-08-21,4.0,38,6.0
2021-08-22,7.0,23,10.0
2021-08-23,4.0,27,10.0
2021-08-24,8.0,36,16.0
2021-08-25,3.0,44,5.0
2021-08-26,6.0,38,8.0
2021-08-27,4.0,29,8.0
2021-08-28,3.0,35,8.0
2021-08-29,7.0,30,7.0
2021-08-30,1.0,51,16.0
2021-08-31,2.0,48,5.0
2021-09-01,5.0,40,11.0
2021-09-02,4.0,48,10.0
2021-09-03,5.0,42,18.0
2021-09-04,6.0,42,14.0
2021-09-05,6.0,51,17.0
2021-09-06,9.0,67,12.0
2021-09-07,6.0,40,13.0
2021-09-08,2.0,42,16.0
2021-09-09,3.0,49,15.0
2021-09-10,3.0,53,14.0
2021-09-11,6.0,54,24.0
2021-09-12,7.0,51,22.0
2021-09-13,4.0,47,9.0
2021-09-14,4.0,67,7.0
2021-09-15,2.0,40,5.0
2021-09-16,4.0,31,4.0
2021-09-17,1.0,32,6.0
2021-09-18,9.0,43,4.0
2021-09-19,13.0,44,7.0
2021-09-20,8.0,34,4.0
2021-09-21,5.0,44,7.0
2021-09-22,9.0,57,6.0
2021-09-23,4.0,58,5.0
2021-09-24,10.0,48,15.0
2021-09-25,9.0,41,11.0
2021-09-26,4.0,58,9.0
2021-09-27,8.0,40,12.0
2021-09-28,5.0,42,12.0
2021-09-29,7.0,41,16.0
2021-09-30,5.0,37,15.0
2021-10-01,5.0,39,9.0
2021-10-02,7.0,49,6.0
2021-10-03,5.0,59,5.0
2021-10-04,5.0,46,12.0
2021-10-05,7.0,44,20.0
2021-10-06,6.0,67,19.0
2021-10-07,7.0,61,18.0
2021-10-08,6.0,57,10.0
2021-10-09,6.0,45,13.0
2021-10-10,6.0,46,15.0
2021-10-11,5.0,56,5.0
2021-10-12,4.0,51,13.0
2021-10-13,6.0,58,27.0
2021-10-14,3.0,57,15.0
2021-10-15,3.0,35,12.0
2021-10-16,7.0,40,32.0
2021-10-17,5.0,62,14.0
2021-10-18,3.0,41,16.0
2021-10-19,1.0,47,19.0
2021-10-20,6.0,50,16.0
2021-10-21,10.0,53,17.0
2021-10-22,13.0,61,14.0
2021-10-23,10.0,54,15.0
2021-10-24,12.0,54,17.0
2021-10-25,7.0,65,11.0
2021-10-26,9.0,51,19.0
2021-10-27,12.0,53,26.0
2021-10-28,5.0,38,20.0
2021-10-29,6.0,43,8.0
2021-10-30,4.0,45,10.0
2021-10-31,6.0,50,12.0
2021-11-01,6.0,49,13.0
2021-11-02,8.0,50,18.0
2021-11-03,5.0,43,16.0
2021-11-04,4.0,56,19.0
2021-11-05,5.0,30,10.0
2021-11-06,4.0,34,11.0
2021-11-07,5.0,59,10.0
2021-11-08,3.0,41,22.0
2021-11-09,3.0,44,14.0
2021-11-10,3.0,36,13.0
2021-11-11,6.0,40,12.0
2021-11-12,6.0,33,11.0
2021-11-13,8.0,33,9.0
