,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
23,대전광역시 유성구 노은3동,(W) 260 나이키 조던1 화이트 울프그레이 로우,1,166200688,270000,1,76862764,1633441846,1,2021-10-05 22:50:46,2021-10-05,260,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,대전광역시,유성구,노은3동
24,인천광역시 남동구 간석3동,[260] 나이키 조던1 로우 울프 그레이,5,165839028,369000,0,9708502,1633096123,2,2021-10-01 22:48:43,2021-10-01,260,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,인천광역시,남동구,간석3동
25,충청남도 태안군 태안읍,조던 1 로우 울프 그레이 W265 착용X,1,165490151,355000,1,4369522,1632846933,2,2021-09-29 01:35:33,2021-09-29,265,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,충청남도,태안군,태안읍
26,충청남도 서산시 석남동,조던1 로우 울프그레이 265 사이즈교환해여,0,164673154,0,0,1470031,1631855463,1,2021-09-17 14:11:03,2021-09-17,265,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,충청남도,서산시,석남동
27,충청북도 청주시 흥덕구 복대1동,조던1로우 울프그레이 235사이즈 구합니다,0,163981794,0,1,5713914,1631523266,2,2021-09-13 17:54:26,2021-09-13,235,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,충청북도,청주시,흥덕구 복대1동
28,전라북도 정읍시 태인면,조던1로우 울프그레이W 260,9,162443570,323000,1,9199638,1631102961,2,2021-09-08 21:09:21,2021-09-08,260,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,전라북도,정읍시,태인면
29,서울특별시 강동구 성내제2동,조던1로우 울프그레이 250,3,160325533,243000,1,12401793,1627472346,1,2021-07-28 20:39:06,2021-07-28,250,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,강동구,성내제2동
30,부산광역시 수영구 민락동,[240] 조던1 로우 울프그레이 미시착 새상품 크림발 나이키,1,169417003,320000,3,1419305,1636446819,2,2021-11-09 17:33:39,2021-11-09,240,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,부산광역시,수영구,민락동
31,NULL,나이키 조던1 로우 울프그레이 225,16,167297474,310000,3,877200,1636386688,1,2021-11-09 00:51:28,2021-11-09,225,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,NUL,NUL,NULL
32,경기도 군포시 광정동,조던1 로우 울프그레이 w255 팝니다.,2,169234060,190000,3,77404459,1636281321,1,2021-11-07 19:35:21,2021-11-07,255,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,경기도,군포시,광정동
33,경기도 하남시 덕풍3동,조던1 로우 울프 그레이 260 박스 ,0,168482045,5000,3,75975583,1636171177,1,2021-11-06 12:59:37,2021-11-06,260,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,경기도,하남시,덕풍3동
34,서울특별시 동대문구 답십리제1동,(W290)나이키 조던1 로우 울프그레이,7,167045931,284000,3,75786206,1636004526,1,2021-11-04 14:42:06,2021-11-04,290,조던 1 로우 울프그레이,조던,조던 1 로우,울프그레이,119000,서울특별시,동대문구,답십리제1동
