날짜,뉴발란스 993 그레이,뉴발란스 993 네이비,뉴발란스 993 블랙
2021-03-06,56.30712,6.94698,15.90493
2021-03-07,74.40585,8.59232,17.36745
2021-03-08,58.86654,7.31261,15.90493
2021-03-09,63.61974,9.68921,18.64716
2021-03-10,60.69469,9.50639,17.18464
2021-03-11,63.61974,7.31261,21.02376
2021-03-12,53.74771,9.32358,19.92687
2021-03-13,52.83363,4.57038,13.1627
2021-03-14,63.98537,6.0329,15.72212
2021-03-15,51.37111,4.93601,14.62522
2021-03-16,52.65082,6.76416,15.17367
2021-03-17,50.63985,3.47349,12.97989
2021-03-18,52.28519,4.75319,15.17367
2021-03-19,48.44606,5.48446,12.24862
2021-03-20,48.26325,3.10786,16.63619
2021-03-21,51.37111,5.66727,18.82998
2021-03-22,42.04753,6.39853,14.99085
2021-03-23,45.3382,9.50639,11.70018
2021-03-24,48.99451,9.68921,12.79707
2021-03-25,35.10054,8.04387,11.33455
2021-03-26,36.01462,3.10786,9.68921
2021-03-27,45.88665,7.49542,16.08775
2021-03-28,46.80073,7.67824,14.80804
2021-03-29,45.52102,7.67824,16.63619
2021-03-30,43.32723,7.86106,14.25959
2021-03-31,36.56307,6.21572,12.61425
2021-04-01,39.85374,2.74223,12.43144
2021-04-02,41.6819,2.74223,10.60329
2021-04-03,33.63802,5.85009,12.97989
2021-04-04,49.72577,6.76416,12.24862
2021-04-05,45.70383,9.68921,14.25959
2021-04-06,40.585,7.49542,8.77513
2021-04-07,40.95063,6.0329,9.50639
2021-04-08,36.38025,6.39853,14.07678
2021-04-09,39.12248,4.57038,9.68921
2021-04-10,43.51005,6.76416,11.33455
2021-04-11,50.27422,5.30164,14.80804
2021-04-12,45.52102,9.87202,6.76416
2021-04-13,44.42413,8.77513,11.88299
2021-04-14,43.69287,10.96892,9.68921
2021-04-15,44.78976,10.42047,11.33455
2021-04-16,41.6819,10.7861,11.70018
2021-04-17,46.80073,10.42047,14.25959
2021-04-18,48.8117,9.87202,13.71115
2021-04-19,49.54296,6.94698,11.70018
2021-04-20,55.94149,5.66727,12.24862
2021-04-21,51.00548,4.20475,11.51736
